GPIN,PIN_ALL,PIN_Count,Oldest_Structure,Largest_Structure_SqFT,UseCode_All,Max_UseCodeRisk,Source_All
NA,010001900 | 010001900 | 010001900 | 170091200 | 170091200 | 260097000 | 260097000 | 280009000 | 280009100 | 280009100 | 2800371A0 | 2800371B0 | 280038000 | 280038000 | 280080A00 | 320195000 | 340090500 | 340090700 | 340090700 | 340090700 | 47000212L | 530064A00 | 530155LA0 | 530155LB0 | 530155LC0 | 530155LD0 | 530155LE0 | 530155LF0 | 540123000 | 590149200 | 320197000 | 020025A00 | 050116000 | 050116A00 | 050116B00 | 050116C00 | 050116D00 | 050116E00 | 050116F00 | 070555000 | 080011L00 | 080555000 | 090555000 | 100060L00 | 100061L00 | 100065000 | 100070000 | 1000811L0 | 100082L00 | 100555000 | 110102200 | 110102300 | 110102400 | 110102500 | 110102600 | 110102700 | 110555000 | 120003T00 | 16000 | 16001 | 16002 | 16003 | 16004 | 16005 | 16006 | 16007 | 16008 | 16009 | 16010 | 16011 | 16012 | 16013 | 16014 | 16015 | 16016 | 16017 | 16018 | 16019 | 16020 | 16021 | 16022 | 16023 | 16024 | 16025 | 16026 | 16027 | 16028 | 16029 | 16031 | 16034 | 16035 | 160555000 | 22A003000 | 22B163AL0 | 22B163BL0 | 22B177000 | 22B178000 | 22B180000 | 230035200 | 2300947L0 | 250003A00 | 250069000 | 260002000 | 260035000 | 260116000 | 260116100 | 280080B00 | 280080C00 | 280555000 | 290006000 | 290008000 | 290070200 | 290146000 | 290149000 | 290264L00 | 290266015 | 290266100 | 290266A00 | 290266C00 | 290272100 | 290555000 | 300004000 | 300555000 | 310004000 | 310555000 | 320026A00 | 320191000 | 320555000 | 340085100 | 340087000 | 340555000 | 350048000 | 350061000 | 350555000 | 400009100 | 410063001 | 41B005A00 | 430555000 | 43A555000 | 43B555000 | 43C555000 | 440555000 | 450017500 | 450555000 | 460555000 | 470017BO0 | 48A039038 | 48A039054 | 500059002 | 500059003 | 520185300 | 520185500 | 530131L00 | 530555000 | 540032000 | 540052000 | 540054000 | 540121000 | 540140000 | 540157000 | 540555000 | 550073120 | 55A133000 | 560016000 | 5600404AA | 560555000 | 570157001 | 570555000 | 580306000 | 580555000 | 5900991L0 | 590375000 | 590375100 | 600081800 | 600091000 | 600120A00 | 600120B00 | 600120C00 | 600121000 | 600122400 | 600122500 | 600122600 | 600122700 | 610079200 | 610079500 | 170018004 | 170018005 | 170018006 | 170091300 | 170555000 | 17A018A00 | 17A018A00 | 17A555000 | 180555000 | 18A555000 | 200021000 | 200130001 | 200247000 | 200264400 | 210555000 | 21B004300 | 220018200 | 220019200 | 220020200 | 220021000 | 220022000,206,0,24346,Office Building | Office Building | Office Building | Apartments 1-10 units | Apartments 1-10 units | Condo Common Area | Condo Common Area | Restaurant | Retail Store | Retail Store | Office | Bank | Bank | Bank | Office Building | Office Building | Storage Warehouse | Service Repair Garage | Service Repair Garage | Service Repair Garage | Day Care Center | Retail Store | Office Building | Office Building | Office Building | Office Building | Office Building | Office Building | Day Care Center | Convenience Market | Commercial | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Commercial (B1-B3) | Vacant Commercial (B1-B3) | Parking Lot | Vacant Land | Vacant Commercial (B1-B3) | Office Building | Vacant Land | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Vacant Land | Vacant Land | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Condo Main | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Single Family Attached | Single Family Attached | Apartments over 20 units | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Condominium | Condominium | Vacant Land | Vacant Land | Parking Lot | Vacant Land | Vacant Land | Vacant Land | NA | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Dormitory | Parking Lot | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Single Family | Vacant Land | Apartments 1-10 units | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Fire Station (staff) | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Parking Lot | Vacant Land | Vacant Land | Single Family | Vacant Land | Single Family | Single Family-1 Conversion | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Single Family | NA | Vacant Land | Vacant Land | Vacant Land | Single Family | Vacant Land | Vacant Land | Single Family | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Single Family | Vacant Land | Duplex | Duplex | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Vacant Land | Condo Common Area | Condo Common Area | Condo Common Area | Condo Common Area | Condo Common Area,NA,Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential
10,42C107000,1,1972,NA,Single Family,1,Residential
100,42C059000,1,1968,NA,Single Family,1,Residential
1000,41A001110,1,1985,NA,Single Family,1,Residential
10000,180023000 | 180023000,2,1919,NA,Single Family-1 Conversion | Single Family-1 Conversion,1,Residential | Residential
10001,220136000,1,1952,NA,Single Family,1,Residential
10002,560114000,1,1920,NA,Single Family,1,Residential
10003,220168000,1,1952,NA,Single Family,1,Residential
10004,55A094300,1,1971,NA,Single Family Attached,2,Residential
10005,180010000 | 180010000,2,1936,NA,Single Family-1 Conversion | Single Family-1 Conversion,1,Residential | Residential
