OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,MasterAddressID
1,7558530,108,201,APT,W,SOUTH,ST, ,22902, ,R,105824
2,7558530,108,202,APT,W,SOUTH,ST, ,22902, ,R,105825
3,721322436,111,,,E,WATER,ST, ,22902, ,C,87947
4,7558530,108,203,APT,W,SOUTH,ST, ,22902, ,R,105826
5,450415243,416,,, ,10TH,ST,NW,22903, ,R,87993
6,38847714,1226,H,APT, ,SMITH,ST, ,22901, ,R,88038
7,63288354,1431,,,E,HIGH,ST, ,22902, ,R,88075
8,104793213,721,,, ,BLENHEIM,AVE, ,22902, ,R,88120
9,7881935,1800,306,UNIT, ,JEFFERSON PARK,AVE, ,22903, ,R,88158
10,93501967,109,,, ,PIEDMONT,AVE,S,22903, ,R,88211
11,7260365,814,A,UNIT, ,NALLE,ST, ,22903, ,R,88308
12,357814104,1025,B,UNIT, ,PRESTON,AVE, ,22903, ,R,88452
13,118595023,1410,B,APT, ,VINE,ST, ,22902, ,R,88542
14,652683,217,,,E,JEFFERSON,ST, ,22902, ,R,88623
15,70233279,408,205B,UNIT,E,MARKET,ST, ,22902, ,C,88722
16,49210583,2111,69,APT, ,MICHIE,DR, ,22901, ,R,88820
17,390514547,512,2,#, ,15TH,ST,NW,22903, ,R,88910
18,421714930,608,,, ,LYONS,AVE, ,22902, ,R,89007
19,13937149,428,207,#, ,MONROE,LN, ,22903, ,R,89072
20,6785154,401,200,#,E,MARKET,ST, ,22902, ,C,89182
21,224912743,1845,,, ,FENDALL,AVE, ,22903, ,R,89272
22,95409549,816,,, ,HINTON,AVE, ,22902, ,C,89355
23,1474317318,126,K,UNIT, ,GARRETT,ST, ,22902, ,R,89408
24,594516670,608,B,APT, ,ST CHARLES,AVE, ,22902, ,R,89507
25,695822450,107,12,APT,W,WATER,ST, ,22902, ,R,89604
26,233012810,107,,, ,LOCUST LANE,CT, ,22901, ,R,89700
27,597116707,404,,, ,ALTAMONT,ST, ,22902, ,R,89789
