"RecordID_Int","ParcelNumber","UseCode","YearBuilt","GrossArea","StoryHeight","NumberOfStories","StreetName","StreetNumber","Unit"
1,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
2,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
3,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
4,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
5,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
6,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
7,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
8,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
9,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
10,"010001000","Comm. Shopping Ctr.",1957,497658,12,1,"EMMET ST N","1117",""
11,"010001100","Comm. Shopping Ctr.",1995,20837,14,1,"MILLMONT ST","1035-67",""
12,"010001200","Convenience Market",1996,1240,12,1,"MILLMONT ST","1159",""
13,"010001300","Neighborhood Shopping Ctr.",1982,1330,12,1,"MILLMONT ST","1135-37",""
14,"010001300","Neighborhood Shopping Ctr.",1982,3434,12,1,"MILLMONT ST","1135-37",""
15,"010001400","Motel",1996,70761,12,3,"MILLMONT ST","1111",""
16,"010001400","Motel",1996,4590,12,1,"MILLMONT ST","1111",""
17,"010001500","Retail Store",1983,5103,12,1,"MILLMONT ST","1149",""
18,"010001600","Multipurpose Bldg (College)",1972,166128,12,1,"MASSIE RD","600",""
19,"010001600","Multipurpose Bldg (College)",1972,88621,12,2,"MASSIE RD","600",""
20,"010001600","Multipurpose Bldg (College)",1972,166128,12,1,"MASSIE RD","600",""
21,"010001600","Multipurpose Bldg (College)",1972,88621,12,2,"MASSIE RD","600",""
22,"010001700","Transit Warehouse",1963,53618,17,1,"MILLMONT ST","1101",""
23,"010001900","Office Building",1985,12150,12,1.5,"MILLMONT ST","1023",""
24,"010001900","Office Building",1985,3248,12,2,"MILLMONT ST","1023",""
25,"010001900","Office Building",1985,1020,12,1,"MILLMONT ST","1023",""
26,"010004000","Neighborhood Shopping Ctr.",1952,2634,12,1,"EMMET ST N","1138",""
27,"010004000","Neighborhood Shopping Ctr.",1952,1264,12,1,"EMMET ST N","1138",""
28,"010004000","Neighborhood Shopping Ctr.",1952,8502,10,1,"EMMET ST N","1138",""
29,"010004000","Neighborhood Shopping Ctr.",1952,11545,10,1,"EMMET ST N","1138",""
30,"010004100","Retail",2019,12630,20,1,"EMMET ST N","1170",""
31,"010004300","Service Repair Garage",1971,4414,16,1,"EMMET ST N","1134",""
32,"010004400","Condominium Commercial",1963,1308,14,1,"EMMET ST N","1136-A","1"
