OBJECTID,ADDRESSTBL,BIN,ST_NUMBER,STREET,TYPE,NAME,DESCRIP,MAX_HEIGHT,COMMENT,STATUS,CONDITION
34004,Y,138087331,1154,5TH ST SW, , , , , , , 
34005,Y,1330617408,506+,MOSELEY DR, , , , , , , 
34006,Y,132536647,108,HARRIS RD, , , , , , , 
34007,Y,132726651,113,AZALEA DR, , , , , , , 
34008,Y,132746652,2729,JEFFERSON PARK AVE, , , , , , , 
34009,Y,132666653,816,ROUGEMONT AVE, , , , , , , 
34010,Y,132796654,2716,MCELROY DR, , , , , , , 
34011,Y,132776655,219,MONTE VISTA AVE, , , , , , , 
34012,Y,130456656,513,HARRIS RD, , , , , , , 
34013,Y,140066657,112+,OLD FIFTH CIR, , , , , , , 
34014,Y,132566658,505+,HARRIS RD, , , , , , , 
34015,Y,132876659,218,PALATINE AVE, , , , , , , 
34016,Y,132616660,105,LIDE PL, , , , , , , 
34017,Y,132556665,307,PALATINE AVE, , , , , , , 
34018,Y,132586670,905,ROUGEMONT AVE, , , , , , , 
34019,Y,132706676,507+,HARRIS RD, , , , , , , 
34020,Y,132906677,412,HARRIS RD, , , , , , , 
34021,Y,133016678,100,KEYSTONE PL, , , , , , , 
34022,Y,132816679,106,HARRIS RD, , , , , , , 
34023,Y,133076682,228,OLD LYNCHBURG RD, , , , , , , 
34024,Y,132956684,818,ROUGEMONT AVE, , , , , , , 
34025,Y,133036687,218,MONTE VISTA AVE, , , , , , , 
34026,Y,132996689,110,AZALEA DR, , , , , , , 
34027,Y,133096691,509,MOSELEY DR, , , , , , , 
34028,Y,132606692,110,LIDE PL, , , , , , , 
34029,Y,132866693,509+,HARRIS RD, , , , , , , 
34030,Y,139716694,533,HARRIS RD, , , , , , , 
34031,Y,132896697,219,OLD LYNCHBURG RD, , , , , , , 
34032,Y,132806698,907,ROUGEMONT AVE, , , , , , , 
34033,Y,132466699,2719,MCELROY DR, , , , , , , 
34034,Y,133176701,221,MONTE VISTA AVE, , , , , , , 
34035,Y,132976702,511+,HARRIS RD, , , , , , , 
34036,Y,133006704,104,HARRIS RD, , , , , , , 
34037,Y,133196708,2718,MCELROY DR, , , , , , , 
34038,Y,132926709,103,LIDE PL, , , , , , , 
34039,Y,133276710,101+,CAMELLIA DR, , , , , , , 
34040,Y,133116711,100,GRIMES PL, , , , , , , 
34041,Y,132966712,909,ROUGEMONT AVE, , , , , , , 
34042,Y,133146714,105,GRIMES PL, , , , , , , 
34043,Y,133336715,230+,OLD LYNCHBURG RD, , , , , , , 
34044,Y,133306718,1028,LINDEN AVE, , , , , , , 
34045,Y,133386720,1032,LINDEN AVE, , , , , , , 
34046,Y,133156722,101,LIDE PL, , , , , , , 
34047,Y,133326723,222+,PALATINE AVE, , , , , , , 
34048,Y,133356725,1030,LINDEN AVE, , , , , , , 
34049,Y,133376726,1034,LINDEN AVE, , , , , , , 
34050,Y,140106727,164+,OLD FIFTH CIR, , , , , , , 
34051,Y,133246728,102,HARRIS RD, , , , , , , 
34052,Y,133136730,911,ROUGEMONT AVE, , , , , , , 
34053,Y,133256732,115,AZALEA DR, , , , , , , 
34054,Y,133296734,900,ROUGEMONT AVE, , , , , , , 
34055,Y,133446735,108,LIDE PL, , , , , , , 
34056,Y,147476736,101+,OLD FIFTH CIR, , , , , , , 
34057,Y,133236737,101,LEIGH PL, , , , , , , 
34058,Y,133436741,102,GRIMES PL, , , , , , , 
34059,Y,133476743,223,MONTE VISTA AVE, , ,per ADEPT, , , , 
34060,Y,133106744,115+,HILTON DR, , , , , , , 
34061,Y,133466745,112,AZALEA DR, , , , , , , 
34062,Y,132856747,100,TROOST CT, , , , , , , 
34063,Y,133166748,1020,LINDEN AVE, , , , , , , 
34064,Y,133216749,221,OLD LYNCHBURG RD, , , , , , , 
34065,Y,133396751,100,HARRIS RD, , , , , , , 
34066,Y,133496752,302,PALATINE AVE, , , , , , , 
34067,Y,133026755,102,TROOST CT, , , , , , , 
34068,Y,133456757,902,ROUGEMONT AVE, , , , , , , 
34069,Y,133226758,113,HILTON DR, , , , , , , 
34070,Y,133596760,511,MOSELEY DR, , , , , , , 
34071,Y,133766762,508+,MOSELEY DR, , , , , , , 
34072,Y,133286764,913,ROUGEMONT AVE, , , , , , , 
34073,Y,133426768,109,HILTON DR, , , , , , , 
34074,Y,133696770,232+,OLD LYNCHBURG RD, , , , , , , 
34075,Y,133586771,106,LIDE PL, , , , , , , 
34076,Y,133666772,304,PALATINE AVE, , , , , , , 
34077,Y,133406774,1605,MERIDIAN ST, , , , , , , 
34078,Y,133686775,222,MONTE VISTA AVE, , , , , , , 
34079,Y,133486776,103,LEIGH PL, , , , , , , 
34080,Y,133316777,111,HILTON DR, , , , , , , 
34081,Y,132686778,420,QUARRY RD, , , , , , , 
34082,Y,133646780,106,GRIMES PL, , , , , , , 
34083,Y,133626784,2720,MCELROY DR, , , , , , , 
34084,Y,133416785,915,ROUGEMONT AVE, , , , , , , 
34085,Y,133656786,103+,CAMELLIA DR, , , , , , , 
34086,Y,133566787,904,ROUGEMONT AVE, , , , , , , 
34087,Y,133616788,104,LIDE PL, , , , , , , 
34088,Y,133716789,104,GRIMES PL, , , , , , , 
34089,Y,133576791,107,HILTON DR, , , , , , , 
34090,Y,133856792,1301+,KNOLL ST, , , , , , , 
34091,Y,133846793,225,MONTE VISTA AVE, , , , , , , 
34092,Y,133676794,101,SHALE PL, , , , , , , 
34093,Y,133936795,102,KEYSTONE PL, , , , , , , 
34094,Y,133536798,223,OLD LYNCHBURG RD, , , , , , , 
34095,Y,133806799,906,ROUGEMONT AVE, , , , , , , 
34096,Y,133546802,917,ROUGEMONT AVE, , , , , , , 
34097,Y,134046803,234,OLD LYNCHBURG RD, , , , , , , 
34098,Y,133826805,306,PALATINE AVE, , , , , , , 
34099,Y,133946806,510,MOSELEY DR, , , , , , , 
34100,Y,133876807,1305,KNOLL ST, , , , , , , 
34101,Y,133776809,105,LEIGH PL, , , , , , , 
34102,Y,133976810,114,AZALEA DR, , , , , , , 
34103,Y,133706811,513,MOSELEY DR, , , , , , , 
34104,Y,133916812,1303,KNOLL ST, , , , , , , 
34105,Y,134056813,105+,LONGWOOD DR, , , , , , , 
34106,Y,133866814,102,LIDE PL, , , , , , , 
34107,Y,133906815,308,PALATINE AVE, , , , , , , 
34108,Y,133996816,224+,MONTE VISTA AVE, , , , , , , 
34109,Y,134016817,102,CAMELLIA DR, , , , , , , 
34110,Y,133786820,1607,MERIDIAN ST, , , , , , , 
34111,Y,133956824,908,ROUGEMONT AVE, , , , , , , 
34112,Y,133756825,919,ROUGEMONT AVE, , , , , , , 
34113,Y,133516828,104,TROOST CT, , , , , , , 
34114,Y,133986829,103,SHALE PL, , , , , , , 
34115,Y,134026830,100,LIDE PL, , , , , , , 
34116,Y,133886833,225,OLD LYNCHBURG RD, , , , , , , 
34117,Y,134096834,105,CAMELLIA DR, , , , , , , 
34118,Y,134076835,100,LEIGH PL, , , , , , , 
34119,Y,133966837,105,HILTON DR, , , , , , , 
34120,Y,134086840,910,ROUGEMONT AVE, , , , , , , 
34121,Y,134186844,227,MONTE VISTA AVE, , , , , , , 
34122,Y,134176846,2722,MCELROY DR, , , , , , , 
34123,Y,134216848,236+,OLD LYNCHBURG RD, , , , , , , 
34124,Y,134066849,112,HILTON DR, , , , , , , 
34125,Y,134196850,201,AZALEA DR, , , , , , , 
34126,Y,134036852,1001,ROUGEMONT AVE, , , , , , , 
34127,Y,134166853,105,SHALE PL, , , , , , , 
34128,Y,134276854,512,MOSELEY DR, , , , , , , 
34129,Y,134136855,517,MOSELEY DR, , , , , , , 
34130,Y,134206856,912,ROUGEMONT AVE, , , , , , , 
34131,Y,134126859,1609,MERIDIAN ST, , , , , , , 
34132,Y,134256861,107+,LONGWOOD DR, , , , , , , 
