RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
1001,060001844,2434,ARLINGTON BLVD,D2,1.0 Residential (Urban),Taxable,R-3,,UNIT D2 ARLINGTON COURT CONDO,0,1570
1002,060001845,2434,ARLINGTON BLVD,D3,1.0 Residential (Urban),Taxable,R-3,,UNIT D3 ARLINGTON COURT CONDO,0,1570
1003,060001846,2434,ARLINGTON BLVD,D4,1.0 Residential (Urban),Taxable,R-3,,UNIT D4 ARLINGTON COURT CONDO,0,1570
1004,060001847,2434,ARLINGTON BLVD,D5,1.0 Residential (Urban),Taxable,R-3,,UNIT D5 ARLINGTON COURT CONDO,0,1570
1005,060001848,2434,ARLINGTON BLVD,D6,1.0 Residential (Urban),Taxable,R-3,,UNIT D6 ARLINGTON COURT CONDO,0,1570
1006,060001900,2401,ARLINGTON BLVD,,3.0 Multi-Family,Taxable,R-3,,PT LOT C-4,2.017,1506
1007,060001B00,1924,ARLINGTON BLVD,,4.0 Commercial & Industrial,Taxable,URB,,LOT 1-B,0.886,1827
1008,060001C00,801,EMMET ST N,,4.0 Commercial & Industrial,Taxable,URB,,LOT 1C,0.607,1958
1009,060001D00,1910,ARLINGTON BLVD,,4.0 Commercial & Industrial,Taxable,URB,,RESIDUAL AREA,0.416,1912
1010,060002000,0,EMMET ST N,,7.6 Exempt Educational,Exempt,ES,,4.456 ACRES MASSIE PROPERTY,4.369,1814
1011,060003000,817,FENDALL TER,,1.0 Residential (Urban),Taxable,R-1U,,"LOTS 10,11 & 12 BK 6 RUGBY",0,1905
1012,060003100,0,FENDALL TER,,1.0 Residential (Urban),Taxable,R-1U,,RESERVE STRIP BK 6 RUGBY,0.07,1756
1013,060004000,813,FENDALL TER,,1.0 Residential (Urban),Taxable,R-1U,,LOT 9 & PT 8 BK 6 RUGBY,0,1956
1014,060005000,1872,WINSTON RD,,1.0 Residential (Urban),Taxable,R-1U,,LOTS 14 & 15 BK 4 RUGBY,0,2011
1015,060006000,1866,WINSTON RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 16 & PT 17 BK 4 RUGBY,0,2034
1016,060007000,1864,WINSTON RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 18 & PT 17 BK 4 RUGBY,0,2062
1017,060008000,1860,WINSTON RD,,1.0 Residential (Urban),Taxable,R-1U,,LOT 19 & PT 20&21 BK 4 RUGBY,0,2084
