RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
1001,060044100,1875,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Hardwood,Forced Air,4,1962,8,4,1,3,0,1130,,Full Basement,Brick Veneer,2.00,2591
1002,060045000,1862,EDGEWOOD LN,,Single Family,1.5 Story,A,Asbestos,Hardwood,Hot Water Radiator,1,1935,9,3,0,2,0,1045,0,Partial Basement,Brick Veneer,1.50,2748
1003,060046000,1856,EDGEWOOD LN,,Single Family,1.5 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1935,8,3,1,4,0,575,0,Partial Basement,Brick Veneer,1.50,2864
1004,060047000,1852,EDGEWOOD LN,,Single Family,1.5 Story,A,Architectural Shingles,Hardwood,Hot Water Radiator,2,1952,8,4,0,3,0,1006,706,Full Basement,Brick Veneer,1.75,1872
1005,060048000,1844,EDGEWOOD LN,,Single Family,1 Story,A,Shingles,Other,Heat Pump,1,1964,10,4,1,3,0,1332,680,Partial Basement,Brick Veneer,1.00,2103
1006,060049000,1840,EDGEWOOD LN,,Single Family,1 Sty w/ Bsmt,B,Architectural Shingles,Hardwood,Hot Water Radiator,1,1950,8,3,0,2,1,480,,Partial Basement,Wood,1.00,1648
1007,060050000,1873,EDGEWOOD LN,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1935,7,3,2,2,0,950,,Partial Basement,Brick Veneer,2.00,2182
1008,060051000,1853,EDGEWOOD LN,,Single Family,1.5 Story,A,Shingles,Hardwood,Hot Water Radiator,1,1935,8,3,0,2,1,832,0,Partial Basement,Wood,1.50,2096
1009,060052000,1827,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Other,Hot Water Radiator,1,1926,7,3,0,2,0,885,0,Partial Basement,Brick Veneer,2.00,2348
1010,060053000,1829,WAYSIDE PL,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1947,9,3,0,3,1,728,364,Partial Basement,Brick Veneer,1.00,2262
1011,060054000,1841,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Hardwood,Heat Pump,2,1910,10,4,0,4,0,1306,1306,Full Basement,Wood Shingle,2.00,2244
1012,060055000,1845,WAYSIDE PL,,Single Family,2 Story,B++,Metal,Hardwood,Hot Water Radiator,1,1938,8,6,1,5,0,768,,Partial Basement,Stone,2.0,3158
1013,060056000,1851,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,3,1955,9,4,1,3,0,763,0,Partial Basement,Brick Veneer,2.00,3105
1014,060057000,1859,WAYSIDE PL,,Single Family-1 Conversion,2 Story,A -,Metal,Hardwood,Heat Pump,2,1940,7,3,1,2,0,1188,856,Full Basement,Stucco,2.00,3808
1015,060058000,1863,WAYSIDE PL,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1950,6,3,1,1,0,1469,,Full Basement,Brick Veneer,1.00,1469
1016,060059000,1871,WAYSIDE PL,,Single Family,1 Story,A,Shingles,Other,Heat Pump,1,1948,7,3,1,2,0,0,0,Partial Basement,Brick Veneer,1.00,2170
1017,060060000,1874,WAYSIDE PL,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1941,9,3,1,3,1,1104,280,Partial Basement,Brick Veneer,2.00,2787
1018,060061000,1870,WAYSIDE PL,,Single Family,2 Story,A -,Architectural Shingles,Hardwood,Heat Pump,1,1951,11,5,1,3,0,1450,1185,Full Basement,Brick Veneer,2.00,2505
1019,060062000,1864,WAYSIDE PL,,Single Family,1 Story,A -,Architectural Shingles,Hardwood,Hot Water Radiator,2,1951,10,4,No dat,3,2,1650,1109,Partial Basement,Brick Veneer,1.00,1938
