RecordID_Int,ParcelNumber,UseCode,YearBuilt,GrossArea,StoryHeight,NumberOfStories,StreetName,StreetNumber,Unit
224,080010000,Restaurant,1971,2259,12,1.00,EMMET ST N,127,
225,080011000,Office Building,1954,1728,12,2.00,IVY RD,1939,
226,080011000,Office Building,1954,1728,12,2.00,IVY RD,1939,
227,080012000,Parking Structure,0,,,,EMMET ST N,123,
228,080021000,Apartments 1-10 units,1959,1406,12,1.00,IVY RD,1930,
229,080024000,Office Building,1956,2006,12,1.50,CRESAP RD,102,
230,080026000,Office Building,1939,1744,12,2.00,CRESAP RD,108,
231,080026000,Office Building,1939,256,12,1.00,CRESAP RD,108,
232,080027000,Dormitory,1950,,12,3.00,EMMET ST S,0,
233,080027000,Dormitory,1950,,12,3.00,EMMET ST S,0,
234,080032000,Apartments 1-10 units,1958,1668,12,1.00,CRESAP RD,107,
235,080033000,Apartments 1-10 units,1959,1668,12,1.00,CRESAP RD,105,
236,080034000,Apartments 1-10 units,1959,1658,12,1.00,CRESAP RD,103,
237,080042000,Office Building,1939,1596,8,1.50,SPRIGG LN,210,
238,080042000,Office Building,1939,1596,8,1.50,SPRIGG LN,210,
239,080045000,Office Building,1920,24156,12,1.00,EMMET ST S,211,
240,080045000,Office Building,1920,3448,12,2.00,EMMET ST S,211,
241,090002000,Apartments 11-20 Units,2009,6250,8,2.00,GORDON AVE,1704,
242,090002000,Apartments 11-20 Units,2009,5722,8,2.00,GORDON AVE,1704,
243,090003000,Church,1920,4288,10,2.00,RUGBY RD,480,
244,090003000,Church,1920,198,10,1.00,RUGBY RD,480,
245,090004000,Church,0,13733,,1.00,RUGBY RD,450,
246,090004000,Church,0,8122,,1.00,RUGBY RD,450,
247,090005000,Church,1912,3264,20,1.00,RUGBY RD,400,
248,090005000,Church,1912,3264,20,1.00,RUGBY RD,400,
249,090008000,Apartments 11-20 Units,1993,15268,8,4.00,17TH ST NW,418-422,
250,090011000,Apartments 1-10 units,1960,6862,8,2.00,17TH ST NW,426,
251,090012000,Church,1958,4211,20,1.00,GORDON AVE,1618,
252,090013000,Office Building,1890,3416,10,2.00,GORDON AVE,1602,
253,090015000,"Library, Public",1965,13054,12,1.00,GORDON AVE,1500,
254,090016000,Group Care Home,1920,18724,10,2.00,GORDON AVE,1600,
255,090016000,Group Care Home,1920,2687,10,1.00,GORDON AVE,1600,
256,090016000,Group Care Home,1920,12222,10,3.00,GORDON AVE,1600,
257,090016000,Group Care Home,1920,20125,10,3.00,GORDON AVE,1600,
258,090018000,Apartments 1-10 units,1987,4614,8,3.00,VIRGINIA AVE,1521,
259,090020000,Apartments 1-10 units,1986,8217,8,3.00,VIRGINIA AVE,1513,
260,090052000,Apartments 1-10 units,1920,,,,15TH ST NW,332,
261,090056000,Apartments 1-10 units,1940,1318,8,1.80,15TH ST NW,330,
262,090056000,Apartments 1-10 units,1940,1734,8,1.00,15TH ST NW,330,
263,090058100,Apartments 1-10 units,1978,,,,15TH ST NW,328,
264,090060000,Apartments 1-10 units,1973,6072,8,3.00,15TH ST NW,326,
265,090061000,Apartments 1-10 units,1925,3954,8,2.00,14TH ST NW,303,
266,090061000,Apartments 1-10 units,1925,43,8,1.00,14TH ST NW,303,
267,090063000,Apartments over 20 units,1968,7878,8,3.00,14TH ST NW,225,
268,090063000,Apartments over 20 units,1968,1980,10,1.75,14TH ST NW,225,
269,090063000,Apartments over 20 units,1968,1420,10,1.50,14TH ST NW,225,
270,090063000,Apartments over 20 units,1968,7414,8,2.00,14TH ST NW,225,
271,090066000,Apartments over 20 units,1960,40440,8,4.00,14TH ST NW,219,
272,090069000,Apartments 11-20 Units,1994,16392,8,3.00,14TH ST NW,211,
273,090071000,Apartments 1-10 units,1992,9657,8,4.00,14TH ST NW,205,
274,090073000,Apartments 1-10 units,1875,,,,14TH ST NW,201,
275,090074000,Comm. Shopping Ctr.,1979,5778,10,1.00,14TH ST NW,101-111,
276,090074000,Comm. Shopping Ctr.,1979,3082,10,2.00,14TH ST NW,101-111,
277,090075000,Multiple Commercial Use,1920,8190,12,2.00,UNIVERSITY AVE,1403-15,
278,090075000,Multiple Commercial Use,1920,4551,12,1.00,UNIVERSITY AVE,1403-15,
279,090076000,Retail Store,1895,6687,12,1.00,UNIVERSITY AVE,1417-19,
280,090076000,Retail Store,1895,829,12,1.00,UNIVERSITY AVE,1417-19,
281,090076000,Retail Store,1895,7782,10,3.00,UNIVERSITY AVE,1417-19,
282,090076000,Retail Store,1895,3964,12,2.00,UNIVERSITY AVE,1417-19,
283,090077000,Restaurant,1920,3598,8,2.00,UNIVERSITY AVE,1427-31,
284,090078000,Retail Store,1900,7420,12,2.00,UNIVERSITY AVE,1501-05,
285,090078000,Retail Store,1900,690,12,1.00,UNIVERSITY AVE,1501-05,
286,090078100,Retail Store,1900,1405,12,1.00,UNIVERSITY AVE,1509-11,
287,090078100,Retail Store,1900,2319,12,1.00,UNIVERSITY AVE,1509-11,
288,090078100,Retail Store,1900,1438,12,1.00,UNIVERSITY AVE,1509-11,
289,090080000,Retail Store,1927,10256,10,2.00,UNIVERSITY AVE,1513-15,
290,090081000,Restaurant,1920,9970,12,2.0,UNIVERSITY AVE,1517-19,
291,090082000,Retail Store,1900,7452,12,3.00,UNIVERSITY AVE,1521-27,
292,090082000,Retail Store,1900,1344,12,1.00,UNIVERSITY AVE,1521-27,
293,090083000,Retail Store,1985,8216,12,2.00,ELLIEWOOD AVE,3,
294,090085000,Retail Store,1900,4935,12,3.00,ELLIEWOOD AVE,5-7,
295,090085000,Retail Store,1900,1507,12,1.00,ELLIEWOOD AVE,5-7,
296,090086000,Retail Store,1900,2184,12,2.00,ELLIEWOOD AVE,9,
297,090086000,Retail Store,1900,288,12,1.00,ELLIEWOOD AVE,9,
298,090087000,Retail Store,1900,1728,12,1.00,ELLIEWOOD AVE,11,
299,090088000,Restaurant,1900,2600,10,2.00,ELLIEWOOD AVE,12,
