RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
1001,060042000,1868,EDGEWOOD LN,,Single Family,1.5 Story,A,Shakes,Hardwood,Hot Water Radiator,3,1929,9,4,2,2,0,,,No Basement,Wood,1.50,1998
1002,060043000,1879,WAYSIDE PL,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,2,1937,8,4,1,2,0,430,0,Partial Basement,Stone,2.00,3033
1003,060044000,1864,EDGEWOOD LN,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Forced Air,3,1932,10,3,0,2,0,,,No Basement,Brick Veneer,1.50,2114
1004,060044100,1875,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Hardwood,Forced Air,4,1962,8,4,1,3,0,1130,,Full Basement,Brick Veneer,2.00,2591
1005,060045000,1862,EDGEWOOD LN,,Single Family,1.5 Story,A,Asbestos,Hardwood,Hot Water Radiator,1,1935,9,3,0,2,0,1045,0,Partial Basement,Brick Veneer,1.50,2748
1006,060046000,1856,EDGEWOOD LN,,Single Family,1.5 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1935,8,3,1,4,0,575,0,Partial Basement,Brick Veneer,1.50,2864
1007,060047000,1852,EDGEWOOD LN,,Single Family,1.5 Story,A,Architectural Shingles,Hardwood,Hot Water Radiator,2,1952,8,4,0,3,0,1006,706,Full Basement,Brick Veneer,1.75,1872
1008,060048000,1844,EDGEWOOD LN,,Single Family,1 Story,A,Shingles,Other,Heat Pump,1,1964,10,4,1,3,0,1332,680,Partial Basement,Brick Veneer,1.00,2103
1009,060049000,1840,EDGEWOOD LN,,Single Family,1 Sty w/ Bsmt,B,Architectural Shingles,Hardwood,Hot Water Radiator,1,1950,8,3,0,2,1,480,,Partial Basement,Wood,1.00,1648
1010,060050000,1873,EDGEWOOD LN,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1935,7,3,2,2,0,950,,Partial Basement,Brick Veneer,2.00,2182
1011,060051000,1853,EDGEWOOD LN,,Single Family,1.5 Story,A,Shingles,Hardwood,Hot Water Radiator,1,1935,8,3,0,2,1,832,0,Partial Basement,Wood,1.50,2096
1012,060052000,1827,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Other,Hot Water Radiator,1,1926,7,3,0,2,0,885,0,Partial Basement,Brick Veneer,2.00,2348
1013,060053000,1829,WAYSIDE PL,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1947,9,3,0,3,1,728,364,Partial Basement,Brick Veneer,1.00,2262
1014,060054000,1841,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Hardwood,Heat Pump,2,1910,10,4,0,4,0,1306,1306,Full Basement,Wood Shingle,2.00,2244
1015,060055000,1845,WAYSIDE PL,,Single Family,2 Story,B++,Metal,Hardwood,Hot Water Radiator,1,1938,8,6,1,5,0,768,,Partial Basement,Stone,2.0,3158
1016,060056000,1851,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,3,1955,9,4,1,3,0,763,0,Partial Basement,Brick Veneer,2.00,3105
1017,060057000,1859,WAYSIDE PL,,Single Family-1 Conversion,2 Story,A -,Metal,Hardwood,Heat Pump,2,1940,7,3,1,2,0,1188,856,Full Basement,Stucco,2.00,3808
1018,060058000,1863,WAYSIDE PL,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,1,1950,6,3,1,1,0,1469,,Full Basement,Brick Veneer,1.00,1469
1019,060059000,1871,WAYSIDE PL,,Single Family,1 Story,A,Shingles,Other,Heat Pump,1,1948,7,3,1,2,0,0,0,Partial Basement,Brick Veneer,1.00,2170
1020,060060000,1874,WAYSIDE PL,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1941,9,3,1,3,1,1104,280,Partial Basement,Brick Veneer,2.00,2787
1021,060061000,1870,WAYSIDE PL,,Single Family,2 Story,A -,Architectural Shingles,Hardwood,Heat Pump,1,1951,11,5,1,3,0,1450,1185,Full Basement,Brick Veneer,2.00,2505
1022,060062000,1864,WAYSIDE PL,,Single Family,1 Story,A -,Architectural Shingles,Hardwood,Hot Water Radiator,2,1951,10,4,No dat,3,2,1650,1109,Partial Basement,Brick Veneer,1.00,1938
1023,060063000,1852,WAYSIDE PL,,Single Family,2 Story,A,Slate,Other,Hot Water Radiator,2,1926,12,5,1,3,0,999,779,Full Basement,Stone,2.00,3997
1024,060064000,1832,WAYSIDE PL,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,2,1956,9,4,1,3,0,957,406,Partial Basement,Brick Veneer,2.00,3996
1025,060065000,1828,WAYSIDE PL,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1925,13,5,1,3,0,1136,0,Partial Basement,Brick Veneer,2.00,3596
1026,060066000,1826,WAYSIDE PL,,Single Family,2 Story,A,Architectural Shingles,Hardwood,Hot Water Radiator,1,1910,7,3,1,2,0,1107,,Full Basement,Cedar,2.00,2277
1027,060067000,17,UNIVERSITY CIR,,Single Family,1.5 Story,A +,Copper,Hardwood,Forced Air,3,1900,16,5,1,4,0,1384,1300,Partial Basement,Wood,1.50,3996
1028,060068000,1831,UNIVERSITY CIR,,Single Family,2 Story,A,Shakes,Hardwood,Heat Pump,2,1987,9,4,1,3,0,0,0,No Basement,Brick Veneer,2.00,3594
1029,060069000,1835,UNIVERSITY CIR,,Single Family,2.5 Story,A,Slate,Hardwood,Hot Water Radiator,7,1922,12,5,1,4,0,388,,Cellar,Brick/Masonry,2.5,4438
1030,060070000,1841,UNIVERSITY CIR,,Single Family,2 Story,A,Tile,Hardwood,Hot Water Radiator,3,1910,13,6,1,4,0,1395,460,Partial Basement,Wood,2.00,4091
1031,060071000,21,UNIVERSITY CIR,,Office,2 Story,A,Shingles,None,Hot Water Radiator,8,1914,9,5,1,4,0,1606,934,Partial Basement,Brick Veneer,2.00,3700
1032,060072000,0,UNIVERSITY CIR,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1033,060074100,0,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1034,060075000,380,EMMET ST N,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1035,060076000,26,UNIVERSITY CIR,,Single Family-2 Conversion,1 Story,B,Shingles,None,Heat Pump,0,1970,11,5,0,4,0,1564,1041,Full Basement,Brick Veneer,1.00,1564
1036,060077000,25,UNIVERSITY CIR,,Single Family-1 Conversion,2 Story,A,Shingles,Hardwood,Hot Water Radiator,1,1922,9,5,1,3,0,1279,641,Full Basement,Brick Veneer,2.00,2558
1037,060079000,29,UNIVERSITY CIR,,Single Family-1 Conversion,2 Story,B +,Metal,Hardwood,Hot Water Radiator,1,1914,16,6,1,4,0,1236,876,Partial Basement,Stucco,2.00,3410
1038,060080000,31,UNIVERSITY CIR,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1928,10,4,0,4,0,1600,800,Full Basement,Brick Veneer,2.00,3200
1039,060082000,35,UNIVERSITY CIR,,Single Family,1 Story,A,Slate,Sub Floor,Heat Pump,2,1961,9,4,1,3,0,2136,2029,Full Basement,Brick Veneer,1.00,2136
1040,060085100,39,UNIVERSITY CIR,1,Condominium,1 Story,A -,Metal,Hardwood,Heat Pump,1,1916,5,2,0,2,,0,0,Partial Basement,Brick Veneer,1.00,1731
1041,060085200,39,UNIVERSITY CIR,2,Condominium,1 Story,A -,Metal,Hardwood,Heat Pump,1,1916,5,2,0,2,,0,0,Partial Basement,Brick Veneer,1.00,1731
1042,060085300,39,UNIVERSITY CIR,3,Condominium,1 Story,A -,Metal,Hardwood,Heat Pump,1,1916,6,2,0,2,,0,0,Partial Basement,Brick Veneer,1.00,1731
1043,060085400,39,UNIVERSITY CIR,4,Condominium,1 Story,A -,Metal,Hardwood,Heat Pump,1,1916,5,2,0,2,,0,0,Partial Basement,Brick Veneer,1.00,1731
1044,060085500,39,UNIVERSITY CIR,5,Condominium,1 Story,A -,Metal,Hardwood,Heat Pump,1,1916,5,3,0,2,,0,0,Partial Basement,Brick Veneer,1.00,1731
1045,060085600,39,UNIVERSITY CIR,6,Condominium,1 Story,A -,Metal,Hardwood,Heat Pump,1,1916,5,3,0,2,,0,0,Partial Basement,Brick Veneer,1.00,1731
1046,060089000,1880,UNIVERSITY CIR,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Forced Air,1,1957,6,3,1,2,0,731,,Partial Basement,Brick Veneer,1.66,2855
1047,060090000,40,UNIVERSITY CIR,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,1,1924,7,3,1,3,0,1146,,Full Basement,Brick Veneer,2.00,2877
1048,060091000,38,UNIVERSITY CIR,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,2,1938,10,4,0,3,0,558,0,Partial Basement,Brick Veneer,2.00,2296
1049,060092000,36,UNIVERSITY CIR,,Single Family,1.5 Story,A,Metal,Hardwood,Hot Water Radiator,3,1920,10,3,1,4,0,700,,Cellar,Wood Shingle,1.50,3529
1050,060093000,34,UNIVERSITY CIR,,Single Family,1 Story,A,Shingles,Hardwood,Hot Water Radiator,3,1917,9,3,0,2,0,1100,,Cellar,Stucco,1.00,2238
1051,060095000,30,UNIVERSITY CIR,,Single Family-1 Conversion,2 Story,A,Slate,Other,Hot Water Radiator,1,1910,13,8,1,3,0,1063,1063,Partial Basement,Stucco,2.00,2989
1052,060096000,1836,UNIVERSITY CIR,,Single Family,2 Story,A,Shingles,Hardwood,Hot Water Radiator,3,1959,11,6,0,5,0,681,614,Partial Basement,Brick Veneer,2.00,3747
1053,060096100,20,UNIVERSITY CIR,,Single Family,2 Story,A,Slate,Hardwood,Hot Water Radiator,5,1912,9,4,1,3,0,1621,0,Partial Basement,Brick Veneer,2.00,4172
1054,060097100,1832,UNIVERSITY CIR,,Single Family,2 Story,A,Slate,Hardwood,Forced Air,2,2014,9,3,2,3,No dat,1605,,Full Basement,Brick Veneer,2,3210
1055,070001110,0,IVY RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
1056,070003100,2101,MORRIS RD,,Single Family,2 Story,B,Shingles,Hardwood,Forced Air,1,1987,9,4,1,2,0,1072,0,Full Basement,Wood,2.00,2000
1057,070003110,2108,MORRIS RD,,Single Family,1 Story,B,Shingles,Hardwood,Hot Water Radiator,1,1958,12,5,0,4,0,2070,1397,Full Basement,Wood,1.00,1263
1058,070003120,2112,MORRIS RD,,Single Family,2 Story,B,Shingles,Hardwood,Heat Pump,3,2012,11,5,1,5,0,1574,1045,Full Basement,Brick Veneer,2.00,3286
1059,070003130,2114,MORRIS RD,,Single Family,1 Story,B,Slate,Hardwood,Forced Air,1,1958,7,3,0,3,0,1415,867,Full Basement,Wood,1.00,1780
1060,070003140,2116,MORRIS RD,,Single Family,1 Story,B,Shingles,Hardwood,Forced Air,2,1957,6,3,0,3,1,2042,1021,Full Basement,Brick Veneer,1.00,2042
1061,070003150,117,ALDERMAN RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,2,1957,6,3,2,2,0,1649,848,Partial Basement,Brick Veneer,1.00,1832
