INCIDENT_ID,STREET_ADDRESS,IN_ZIP,LONGITUDE,LATITUDE,FIRE_TYPE,INCIDENT_DURATION_MIN,ALARM_DATE_TIME_AMERICA_NY,year parse,PROPERTY_LOSS_DOLLARS,PROPERTY_USE,FIRE_AREA_OF_ORIGIN,HEAT_SOURCE,ITEM_FIRST_IGNITED,CAUSE_OF_IGNITION,UNIT_1ST_ARRIVE,UNIT_1ST_RESP_TM_MIN,datetime,geometry,geocode_status_code,geocode_count,geocode_quality,geocode_address,geocode_geom,index,point_to_geocode_dist_m
2000930,2400 FONTAINE AVE,22901,-78.49477,38.06987,Natural vegetation fire                                                             ,17.349999999999984,2002-04-14 12:38:57,2002,0.0,Undetermined,,,,Undetermined,E6     ,3.500000000000064,2002-04-14 12:38:57,POINT (-78.49477 38.06987),200.0,5.0,1.0,"2400 Fontaine Avenue, Charlottesville, Virginia 22903, United States",POINT (-78.51899400000001 38.02574),0.0,5340.910081997895
2003381,905 FOREST ST,22901,-78.48545,38.038358,Structure Fire                                                                      ,258.68333333333237,2002-11-07 15:21:02,2002,40000.0,1 or 2 family dwelling,Bedroom - < 5 persons; included are jail or prison,Cigarette lighter,"Box, carton, bag, basket, barrel",Intentional,C2      ,3.199999999999968,2002-11-07 15:21:02,POINT (-78.48545 38.038358),200.0,5.0,1.0,"905 Forest Street, Charlottesville, Virginia 22903, United States",POINT (-78.48535800000001 38.038892),1.0,59.83216409140016
2003463,219 5TH ST SW,22903,-78.488751,38.029425,Mobile property (vehicle) fire                                                      ,9.433333333333296,2002-11-14 07:46:32,2002,0.0,,,,,,BC2     ,0.049999999999968,2002-11-14 07:46:32,POINT (-78.48875099999999 38.029425),200.0,5.0,1.0,"219 5th Street Southwest, Charlottesville, Virginia 22903, United States",POINT (-78.488846 38.029448),2.0,8.72443192857149
2003769,,22902,-78.49047,38.00955,Structure Fire                                                                      ,24.90000000000005,2002-12-11 09:30:15,2002,0.0,1 or 2 family dwelling,,,,,BC2     ,1.599999999999984,2002-12-11 09:30:15,POINT (-78.49047 38.00955),200.0,5.0,1.0,"822 Hardy Drive, Charlottesville, Virginia 22903, United States",POINT (-78.492547 38.033183),4.0,2630.0398874126895
2003827,822 HARDY DR,22901,-78.49477,38.06987,Structure Fire                                                                      ,98.75000000000001,2002-12-17 02:38:34,2002,15000.0,Multifamily dwelling,"Cooking area, kitchen","Heat from powered equipment, other","Box, carton, bag, basket, barrel",Intentional,E7     ,5.933333333333376,2002-12-17 02:38:34,POINT (-78.49477 38.06987),200.0,5.0,1.0,"900 Hillcrest Rd, Charlottesville, Virginia 22903, United States",POINT (-78.47723000000001 38.04176),5.0,3479.9273316575327
2003891,900 HILLCREST RD,22901,-78.476492,38.042706,Structure Fire                                                                      ,51.56666666666669,2002-12-22 11:23:05,2002,0.0,1 or 2 family dwelling,,,Exterior roof covering or finish,Intentional,BTCO2   ,2.6666666666667362,2002-12-22 11:23:05,POINT (-78.47649199999999 38.042706),200.0,5.0,1.0,"20 Bonnycastle Drive, Charlottesville, Virginia 22904, United States",POINT (-78.510867 38.035375),7.0,3126.0384551677894
2000079,,22902,-78.49047,38.00955,Natural vegetation fire                                                             ,48.416666666666686,2003-01-08 12:29:18,2003,0.0,"Pipeline, power line or other utility right of way                                  ",,Arcing,,Other cause,E5     ,3.7166666666666397,2003-01-08 12:29:18,POINT (-78.49047 38.00955),200.0,5.0,1.0,"1526 Trailridge Road, Charlottesville, Virginia 22903, United States",POINT (-78.501983 38.02212),8.0,1723.3512856198652
2030084,20 BONNYCASTLE DR,22908,-78.510425,38.035418,Structure Fire                                                                      ,28.39999999999997,2003-01-09 10:23:46,2003,0.0,"Dormitory type residence, other                                                     ",Office,Arcing,"Electrical wire, cable insulation","Cause, other",E2     ,3.566666666666736,2003-01-09 10:23:46,POINT (-78.510425 38.035418),200.0,5.0,1.0,"100 Ridge Street, Charlottesville, Virginia 22902, United States",POINT (-78.484714 38.029947),9.0,2337.970337601324
2030087,1526 TRAILRIDGE RD,22903,-78.5023,38.022157,Structure Fire                                                                      ,78.66666666666663,2003-01-09 15:41:44,2003,5000.0,1 or 2 family dwelling,Bedroom - < 5 persons; included are jail or prison,Cigarette,"Bedding; blanket, sheet, comforter",Cause under investigation,E5     ,4.1333333333333755,2003-01-09 15:41:44,POINT (-78.50230000000001 38.022157),200.0,5.0,1.0,"1421 Hazel Street, Charlottesville, Virginia 22902, United States",POINT (-78.463331 38.033304),10.0,3639.0308398169527
2030117,100 RIDGE ST,22902,-78.48529,38.030078,Structure Fire                                                                      ,118.70000000000006,2003-01-12 02:23:38,2003,5000.0,Multifamily dwelling,"Chute/container - trash, rubbish, waste",Cigarette,"Rubbish, trash, or waste",Intentional,E7     ,2.616666666666624,2003-01-12 02:23:38,POINT (-78.48529000000001 38.030078),200.0,5.0,1.0,"975 Emmet Street North, Charlottesville, Virginia 22903, United States",POINT (-78.504386 38.050278),11.0,2800.065161177355
