,parcel_area-objectid,parcel_area-assessment,parcel_area-geoparcelidentificationnumber,parcel_area-legaldescription,parcel_area-lotsquarefeet,parcelnumber,parcel_area-zoning,real_estate_commercial-recordid_int,usecode,yearbuilt,real_estate_commercial-grossarea,real_estate_commercial-storyheight,real_estate_commercial-numberofstories
0,13413,28866800,846,PARCELS A & B PEN PARK,13795452.0,48B001000,R-1S,1608.0,City Club,1972.0,3001.0,12.0,1.0
1,12523,957900,796,PARCEL B,145054.8,41B004A00,MLTP,,,,,,
2,1326,305600,1525,LOT B BK 4 GREENLEAF TERRACE,9539.64,420044000,R-1,,,,,,
3,1304,331300,1500,LOT A BK 4 GREENLEAF TERRACE,12632.4,420043000,R-1,,,,,,
4,12213,308800,1789,UNIT 6 MELBOURNE PARK,0.0,460001600,R-3,,,,,,
5,12213,272000,1789,UNIT 7 MELBOURNE PARK,0.0,460001700,R-3,,,,,,
6,12213,282300,1789,UNIT 8 MELBOURNE PARK,0.0,460001800,R-3,,,,,,
7,12213,315600,1789,UNIT 9 MELBOURNE PARK,0.0,460001900,R-3,,,,,,
8,12213,293100,1789,UNIT 11 MELBOURNE PARK,0.0,460001110,R-3,,,,,,
9,12213,258800,1789,UNIT 10 MELBOURNE PARK,0.0,460001101,R-3,,,,,,
10,12979,388500,808,LOT 12 BK A SEC 1 ARLINGTON HG,0.0,43B032000,R-1,,,,,,
11,69822,3394800,1720,FUTURE UNITS PH III LOCHLYN HILL,42688.8,48A040000,PUD,,,,,,
12,34550,100,1680,"OPEN SPACE 1, 2, 3 & 4 LOCHLYN HILL PH II & PH III",306793.08,48A039000,PUD,,,,,,
13,1281,409000,1475,LOT 1 BK 1 GREENLEAF TERRACE,12458.16,380015000,R-1,,,,,,
14,1282,442900,1476,LOT 8,7579.44,380014000,R-1,,,,,,
15,1284,295000,1479,LOT 7 MEADOWBROOK HILLS,8799.12,380013000,R-1,,,,,,
16,1286,348400,1481,LOT 6 MEADOWBROOK HILLS,8799.12,380012000,R-1,,,,,,
17,1312,347600,1508,LOT 2 BK 1 GREENLEAF TERRACE,7840.8,380016000,R-1,,,,,,
18,1318,315200,1517,LOT 3 BK 1 GREENLEAF TERRACE,11717.64,380017000,R-1,,,,,,
19,1320,329700,1519,LOT 4 BK 1 GREENLEAF TERRACE,17162.64,380018000,R-1,,,,,,
20,1332,439200,1532,LOT 5 BK 1 GREENLEAF TERRACE,20908.8,380019000,R-1,,,,,,
21,1365,387700,1568,LOT 6 BK 1 GREENLEAF TERRACE,18643.68,380020000,R-1,,,,,,
22,1374,385300,1581,LOT 7 BK 1 GREENLEAF TERRACE,15725.16,380021000,R-1,,,,,,
23,1382,400800,1590,LOT 5 BK L SEC 1 RUGBY HILLS,10715.76,380034000,R-1,,,,,,
24,1389,371000,1597,LOT 8 BK 1 GREENLEAF TERRACE,10977.12,380022000,R-1,,,,,,
25,1397,430100,1606,LOT 9 BK 1 GREENLEAF TERRACE,10193.04,380023000,R-1,,,,,,
26,1402,443600,1611,LOT BK L SEC 1 RUGBY HILLS,13808.52,380033000,R-1,,,,,,
27,1404,361000,1615,LOT 10 BK 1 GREENLEAF TERRACE,10323.72,380024000,R-1,,,,,,
28,1412,384000,1624,LOT 11 BK 1 GREENLEAF TERRACE,10802.88,380025000,R-1,,,,,,
29,1416,404000,1629,LOT 7&PT LOT BK L RUGBY HILLS,12153.24,380031000,R-1,,,,,,
30,1425,339100,1639,LOT 12 BK 1 GREENLEAF TERRACE,9931.68,380026000,R-1,,,,,,
31,1428,455600,1643,LOTS 18 & 19 BK L RUGBY HILLS,12327.48,380030000,R-1,,,,,,
32,1435,442600,1650,LOT 13 BK 1 GREENLEAF TERRACE,9539.64,380027000,R-1,,,,,,
33,1437,771100,1652,LOTS 20-23 BK L RUGBY HILLS,27747.72,380029000,R-1,,,,,,
34,1446,441700,1663,PT LOT 13 BK K RUGBY HILLS,15376.68,380046000,R-1,,,,,,
35,1450,324600,1667,LOT 14 BK 1 GREENLEAF TERRACE,8668.44,380028000,R-1,,,,,,
36,1457,417800,1675,LOT A BK K SEC 1 RUGBY HILLS,14853.96,380047100,R-1,,,,,,
37,1475,442400,1698,LOTS B&C BK K SEC 1 RUGBY HILL,13111.56,380047000,R-1,,,,,,
38,661,299100,752,LOT 4 RUTLEDGE,0.0,41A004400,R-1,,,,,,
39,646,303500,757,LOT 5 & PARCEL A RUTLEDGE,0.0,41A004500,R-1,,,,,,
40,666,393100,759,LOT 3 RUTLEDGE,0.0,41A004300,R-1,,,,,,
41,678,299300,773,LOT 2 RUTLEDGE,0.0,41A004200,R-1,,,,,,
42,461,356600,537,LOT 10 BK G SEC 3 RUTLEDGE,0.0,41A020000,R-1,,,,,,
43,464,626300,541,LOT 4 BK J SEC 4 RUTLEDGE,0.0,41A008000,R-1,,,,,,
44,475,449500,553,LOT 9 BK G SEC 3 RUTLEDGE,0.0,41A021000,R-1,,,,,,
45,492,443700,573,LOT 11 BK G SEC 4 RUTLEDGE,0.0,41A019000,R-1,,,,,,
46,494,465300,575,LOT 8 BK G SEC 3 RUTLEDGE,0.0,41A022000,R-1,,,,,,
47,512,567000,594,LOT 7 BK G SEC 3 RUTLEDGE,0.0,41A023000,R-1,,,,,,
48,515,656600,597,LOTS 5 & 6 MEADOWBROOK HGTS,0.0,41A040000,R-1,,,,,,
49,518,408000,600,LOT 3 BK J SEC 4 RUTLEDGE,0.0,41A007000,R-1,,,,,,
50,520,445100,602,LOT 12 BK G SEC 4 RUTLEDGE,0.0,41A018000,R-1,,,,,,
51,534,382400,617,LOT 6 BK G SEC 3 RUTLEDGE,0.0,41A024000,R-1,,,,,,
52,541,467400,627,LOT 2 BK J SEC 4 RUTLEDGE,0.0,41A006000,R-1,,,,,,
53,549,534700,638,LOT 13 BK G SEC 4 RUTLEDGE,0.0,41A017000,R-1,,,,,,
54,552,440700,641,LOT 5 BK G SEC 3 RUTLEDGE,0.0,41A025000,R-1,,,,,,
55,564,354000,654,LOT 2 BK H SEC 3 RUTLEDGE,0.0,41A030000,R-1,,,,,,
56,570,610200,660,REVISED LOT 7 MEADOWBROOK HEIGHTS ADDITION,0.0,41A041000,R-1,,,,,,
57,571,581400,661,LOT C MEADOWBROOK HEIGHTS ADD,0.0,41A039000,R-1,,,,,,
58,573,411800,663,LOT 4 BK G SEC 3 RUTLEDGE,0.0,41A026000,R-1,,,,,,
59,577,455100,668,LOT 14 BK G SEC 4 RUTLEDGE,0.0,41A016000,R-1,,,,,,
60,582,386600,673,LOT 1 BK H SEC 3 RUTLEDGE,0.0,41A031000,R-1,,,,,,
61,585,420000,676,LOT 1 BK J SEC 4 RUTLEDGE,0.0,41A005000,R-1,,,,,,
62,589,351900,681,LOT 3 BK G SEC 3 RUTLEDGE,0.0,41A027000,R-1,,,,,,
63,594,654800,686,LOT B MEADOWBROOK HEIGHTS ADD,0.0,41A038000,R-1,,,,,,
64,608,457600,700,LOT 2 BK G SEC 3 RUTLEDGE,0.0,41A028000,R-1,,,,,,
65,612,646600,704,LOT 13 MEADOWBROOK HEIGHTS,0.0,41A077000,R-1,,,,,,
66,613,367200,705,LOT 12 BK D SEC 3 RUTLEDGE,0.0,41A032000,R-1,,,,,,
67,615,586700,707,LOT A MEADOWBROOK HEIGHTS ADD,0.0,41A037000,R-1,,,,,,
68,617,441500,710,LOT 15 BK G SEC 4 RUTLEDGE,0.0,41A015000,R-1,,,,,,
69,621,175000,713,REVISED LOT 8 MEADOWBROOK HEIGHT,0.0,41A042000,R-1,,,,,,
70,12469,400700,721,LOT 1 BK G SEC 3 RUTLEDGE,0.0,41A029000,R-1,,,,,,
